2018-12-14 14:54:26.907 [main] INFO  [org.apache.catalina.core.AprLifecycleListener:173] maincid - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\java\JDK1.8\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;D:\java\JDK1.8\bin;D:\java\JDK1.8\jre\bin;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;D:\Git\cmd;D:\Mysql\bin;D:\Maven\apache-maven-3.5.4\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;D:\gradle-4.10.2\bin;D:\nodejs\;C:\Users\wangxuan\AppData\Local\Microsoft\WindowsApps;D:\nodejs\node_global;;D:\Microsoft VS Code\bin;.]
2018-12-14 14:54:26.992 [main] INFO  [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173] maincid - Initializing Spring embedded WebApplicationContext
2018-12-14 14:54:26.992 [main] INFO  [org.springframework.web.context.ContextLoader:296] maincid - Root WebApplicationContext: initialization completed in 814 ms
2018-12-14 14:54:27.348 [main] INFO  [org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:171] maincid - Initializing ExecutorService 'applicationTaskExecutor'
2018-12-14 14:54:27.490 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol:173] maincid - Starting ProtocolHandler ["http-nio-8601"]
2018-12-14 14:54:27.497 [main] INFO  [org.apache.tomcat.util.net.NioSelectorPool:173] maincid - Using a shared selector for servlet write/read
2018-12-14 14:54:27.507 [main] INFO  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer:204] maincid - Tomcat started on port(s): 8601 (http) with context path ''
2018-12-14 14:54:27.509 [main] INFO  [com.itwx.environment.EnvironmentApplication:] maincid - Started EnvironmentApplication in 1.826 seconds (JVM running for 2.797)
2018-12-14 14:54:31.878 [http-nio-8601-exec-1] INFO  [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173] http-nio-8601-exec-1cid - Initializing Spring DispatcherServlet 'dispatcherServlet'
2018-12-14 14:54:31.878 [http-nio-8601-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet:524] http-nio-8601-exec-1cid - Initializing Servlet 'dispatcherServlet'
2018-12-14 14:54:31.883 [http-nio-8601-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet:546] http-nio-8601-exec-1cid - Completed initialization in 5 ms
2018-12-14 14:54:31.946 [http-nio-8601-exec-1] INFO  [com.zaxxer.hikari.HikariDataSource:110] http-nio-8601-exec-1cid - HikariPool-1 - Starting...
2018-12-14 14:54:32.073 [http-nio-8601-exec-1] INFO  [com.zaxxer.hikari.HikariDataSource:123] http-nio-8601-exec-1cid - HikariPool-1 - Start completed.
